id,sra_id,output
danio_rerio_smart-seq_whole_kidney_marrow_srr5810761,SRR5810761,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810762,SRR5810762,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810763,SRR5810763,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810764,SRR5810764,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810765,SRR5810765,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810766,SRR5810766,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810767,SRR5810767,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810768,SRR5810768,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810769,SRR5810769,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810770,SRR5810770,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810771,SRR5810771,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810772,SRR5810772,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810773,SRR5810773,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810774,SRR5810774,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810775,SRR5810775,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810776,SRR5810776,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810777,SRR5810777,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810778,SRR5810778,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810779,SRR5810779,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810780,SRR5810780,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810781,SRR5810781,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810782,SRR5810782,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810783,SRR5810783,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810784,SRR5810784,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810785,SRR5810785,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810786,SRR5810786,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810787,SRR5810787,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810788,SRR5810788,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810789,SRR5810789,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810790,SRR5810790,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810791,SRR5810791,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810792,SRR5810792,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810793,SRR5810793,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810794,SRR5810794,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810795,SRR5810795,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810796,SRR5810796,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810797,SRR5810797,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810798,SRR5810798,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810799,SRR5810799,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810800,SRR5810800,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810801,SRR5810801,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810802,SRR5810802,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810803,SRR5810803,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810804,SRR5810804,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810805,SRR5810805,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810806,SRR5810806,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810807,SRR5810807,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810808,SRR5810808,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810809,SRR5810809,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810810,SRR5810810,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810811,SRR5810811,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810812,SRR5810812,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810813,SRR5810813,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810814,SRR5810814,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810815,SRR5810815,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810816,SRR5810816,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810817,SRR5810817,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810818,SRR5810818,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810819,SRR5810819,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810820,SRR5810820,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810821,SRR5810821,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810822,SRR5810822,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810823,SRR5810823,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810824,SRR5810824,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810825,SRR5810825,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810826,SRR5810826,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810827,SRR5810827,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810828,SRR5810828,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810829,SRR5810829,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810830,SRR5810830,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810831,SRR5810831,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810832,SRR5810832,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810833,SRR5810833,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
